Profile,Target distance [m],Target height [m],Optimal holdover,Optimal launch angle [°],best_x_hit [m],best_y_hit [m],Flight time [s],Final speed [m/s],Impact angle [°]
default,10.00,-10.00,0.205,-44.408,10.05,-10.04,0.20,71.27,-45.54
default,10.00,-9.00,0.221,-41.280,10.05,-9.00,0.19,71.14,-42.41
default,10.00,-8.00,0.198,-37.961,10.04,-8.00,0.18,71.01,-39.09
default,10.00,-7.00,0.168,-34.342,10.06,-7.02,0.17,70.88,-35.48
default,10.00,-6.00,0.156,-30.304,10.03,-6.00,0.17,70.75,-31.44
default,10.00,-5.00,0.129,-25.973,10.01,-5.00,0.16,70.62,-27.11
default,10.00,-4.00,0.140,-21.107,10.06,-4.00,0.15,70.49,-22.25
default,10.00,-3.00,0.117,-16.084,10.02,-3.00,0.15,70.36,-17.23
default,10.00,-2.00,0.114,-10.681,10.05,-2.00,0.15,70.22,-11.83
default,10.00,-1.00,0.106,-5.107,10.04,-1.00,0.14,70.08,-6.26
default,10.00,0.00,0.101,0.578,10.01,-0.00,0.14,69.94,-0.57
default,10.00,1.00,0.100,6.276,10.02,1.00,0.14,69.80,5.12
default,10.00,2.00,0.104,11.883,10.00,2.00,0.15,69.66,10.73
default,10.00,3.00,0.101,17.230,10.03,3.00,0.15,69.52,16.07
default,10.00,4.00,0.102,22.302,10.04,4.00,0.16,69.37,21.14
default,10.00,5.00,0.108,27.059,10.04,5.00,0.16,69.22,25.90
default,10.00,6.00,0.119,31.464,10.03,6.00,0.17,69.07,30.30
default,10.00,7.00,0.130,35.487,10.03,7.00,0.18,68.92,34.32
default,10.00,8.00,0.129,39.107,10.05,8.00,0.19,68.77,37.94
default,10.00,9.00,0.184,42.565,10.00,9.00,0.19,68.62,41.40
default,10.00,10.00,-0.000,45.000,10.05,9.84,0.20,68.49,43.82
default,12.00,-10.00,0.244,-39.111,12.05,-10.04,0.22,71.25,-40.47
default,12.00,-9.00,0.259,-36.070,12.05,-9.00,0.21,71.11,-37.43
default,12.00,-8.00,0.237,-32.899,12.05,-8.00,0.21,70.98,-34.26
default,12.00,-7.00,0.208,-29.509,12.00,-6.98,0.20,70.85,-30.87
default,12.00,-6.00,0.197,-25.807,12.04,-6.00,0.19,70.72,-27.17
default,12.00,-5.00,0.175,-21.906,12.01,-5.00,0.19,70.59,-23.27
default,12.00,-4.00,0.160,-17.745,12.00,-4.00,0.18,70.46,-19.11
default,12.00,-3.00,0.168,-13.277,12.06,-3.00,0.18,70.32,-14.65
default,12.00,-2.00,0.155,-8.739,12.04,-2.00,0.17,70.19,-10.11
default,12.00,-1.00,0.147,-4.068,12.01,-1.00,0.17,70.05,-5.44
default,12.00,0.00,0.145,0.694,12.04,0.00,0.17,69.91,-0.69
default,12.00,1.00,0.142,5.437,12.06,1.00,0.17,69.77,4.05
default,12.00,2.00,0.140,10.112,12.06,2.00,0.18,69.63,8.72
default,12.00,3.00,0.142,14.672,12.05,3.00,0.18,69.49,13.28
default,12.00,4.00,0.149,19.073,12.04,4.00,0.18,69.34,17.68
default,12.00,5.00,0.162,23.274,12.02,5.00,0.19,69.19,21.88
default,12.00,6.00,0.178,27.240,12.01,6.00,0.19,69.05,25.85
default,12.00,7.00,0.193,30.939,12.01,7.00,0.20,68.90,29.54
default,12.00,8.00,0.200,34.345,12.02,8.00,0.21,68.75,32.94
default,12.00,9.00,0.193,37.455,12.00,8.96,0.22,68.60,36.05
default,12.00,10.00,0.215,40.406,12.04,10.00,0.23,68.44,38.99
default,14.00,-10.00,0.323,-34.653,14.04,-10.00,0.24,71.22,-36.23
default,14.00,-9.00,0.286,-31.899,14.02,-9.00,0.24,71.09,-33.48
default,14.00,-8.00,0.275,-28.891,14.03,-8.00,0.23,70.96,-30.48
default,14.00,-7.00,0.266,-25.688,14.06,-7.01,0.22,70.83,-27.28
default,14.00,-6.00,0.251,-22.324,14.05,-6.00,0.22,70.70,-23.92
default,14.00,-5.00,0.237,-18.789,14.05,-5.00,0.21,70.56,-20.39
default,14.00,-4.00,0.228,-15.079,14.06,-4.00,0.21,70.43,-16.68
default,14.00,-3.00,0.205,-11.289,14.00,-3.00,0.20,70.29,-12.89
default,14.00,-2.00,0.204,-7.311,14.02,-2.00,0.20,70.16,-8.91
default,14.00,-1.00,0.202,-3.264,14.05,-1.00,0.20,70.02,-4.87
default,14.00,0.00,0.198,0.810,14.07,-0.00,0.20,69.88,-0.80
default,14.00,1.00,0.197,4.889,14.02,1.00,0.20,69.74,3.28
default,14.00,2.00,0.197,8.919,14.04,2.00,0.20,69.60,7.30
default,14.00,3.00,0.196,12.860,14.06,3.00,0.21,69.45,11.24
default,14.00,4.00,0.213,16.748,14.01,4.00,0.21,69.31,15.13
default,14.00,5.00,0.212,20.420,14.04,5.00,0.21,69.16,18.79
default,14.00,6.00,0.236,24.010,14.06,6.03,0.22,69.01,22.38
default,14.00,7.00,0.223,27.291,14.05,7.00,0.23,68.87,25.65
default,14.00,8.00,0.236,30.468,14.05,8.00,0.23,68.72,28.83
default,14.00,9.00,0.274,33.521,14.06,9.03,0.24,68.56,31.88
default,14.00,10.00,0.271,36.264,14.05,10.00,0.25,68.42,34.62
default,16.00,-10.00,0.364,-31.059,16.06,-10.03,0.27,71.19,-32.87
default,16.00,-9.00,0.349,-28.400,16.06,-9.02,0.26,71.06,-30.21
default,16.00,-8.00,0.329,-25.616,16.02,-8.00,0.25,70.93,-27.43
default,16.00,-7.00,0.305,-22.706,16.01,-7.00,0.25,70.80,-24.52
