Profile,Target distance [m],Target height [m],Optimal holdover,Optimal launch angle [°],best_x_hit [m],best_y_hit [m],Flight time [s],Final speed [m/s],Impact angle [°]
default,10.00,-4.00,0.140,-21.107,10.06,-4.00,0.15,70.49,-22.25
default,10.00,-2.00,0.114,-10.681,10.05,-2.00,0.15,70.22,-11.83
default,10.00,0.00,0.101,0.578,10.01,-0.00,0.14,69.94,-0.57
default,10.00,2.00,0.104,11.883,10.00,2.00,0.15,69.66,10.73
default,10.00,4.00,0.102,22.302,10.04,4.00,0.16,69.37,21.14
default,15.00,-4.00,0.241,-14.069,15.00,-4.00,0.22,70.41,-15.78
default,15.00,-2.00,0.231,-6.726,15.01,-2.00,0.22,70.14,-8.44
default,15.00,0.00,0.227,0.866,15.04,-0.00,0.22,69.86,-0.86
default,15.00,2.00,0.229,8.451,15.02,2.00,0.22,69.58,6.72
default,15.00,4.00,0.240,15.783,15.02,4.00,0.22,69.29,14.05
default,20.00,-4.00,0.422,-10.142,20.03,-4.00,0.29,70.34,-12.43
default,20.00,-2.00,0.406,-4.558,20.01,-2.00,0.29,70.06,-6.85
default,20.00,0.00,0.403,1.156,20.07,0.00,0.29,69.78,-1.15
default,20.00,2.00,0.402,6.849,20.07,2.00,0.29,69.50,4.53
default,20.00,4.00,0.420,12.461,20.01,4.00,0.29,69.22,10.14
default,25.00,-4.00,0.641,-7.652,25.01,-4.00,0.36,70.26,-10.51
default,25.00,-2.00,0.636,-3.123,25.06,-2.00,0.36,69.98,-6.00
default,25.00,0.00,0.629,1.441,25.02,0.00,0.36,69.71,-1.44
default,25.00,2.00,0.633,6.013,25.03,2.00,0.36,69.42,3.12
default,25.00,4.00,0.648,10.531,25.02,4.00,0.36,69.14,7.63
default,30.00,-4.00,0.918,-5.866,30.02,-4.00,0.43,70.18,-9.30
default,30.00,-2.00,0.908,-2.085,30.02,-2.00,0.43,69.91,-5.53
default,30.00,0.00,0.906,1.730,30.03,0.00,0.43,69.63,-1.73
default,30.00,2.00,0.912,5.543,30.04,2.00,0.43,69.35,2.07
default,30.00,4.00,0.923,9.319,30.06,4.00,0.44,69.06,5.83
default,35.00,-4.00,1.241,-4.507,35.01,-4.00,0.50,70.10,-8.51
default,35.00,-2.00,1.236,-1.250,35.04,-2.00,0.50,69.83,-5.28
default,35.00,0.00,1.234,2.020,35.03,-0.00,0.50,69.55,-2.02
default,35.00,2.00,1.241,5.291,35.04,2.00,0.50,69.27,1.23
default,35.00,4.00,1.259,8.545,35.01,4.00,0.51,68.98,4.47
default,40.00,-4.00,1.623,-3.401,40.05,-4.00,0.58,70.02,-7.99
default,40.00,-2.00,1.615,-0.552,40.05,-2.00,0.57,69.75,-5.16
default,40.00,0.00,1.613,2.309,40.02,-0.00,0.57,69.47,-2.32
default,40.00,2.00,1.622,5.175,40.03,2.00,0.58,69.19,0.53
default,40.00,4.00,1.641,8.027,40.01,4.00,0.58,68.90,3.37
default,45.00,-4.00,2.044,-2.489,45.01,-4.00,0.65,69.95,-7.66
default,45.00,-2.00,2.043,0.055,45.06,-2.00,0.65,69.67,-5.14
default,45.00,0.00,2.043,2.599,45.01,0.00,0.65,69.39,-2.61
default,45.00,2.00,2.055,5.149,45.01,2.00,0.65,69.11,-0.08
default,45.00,4.00,2.073,7.685,45.06,4.00,0.65,68.83,2.43
default,50.00,-4.00,2.523,-1.692,50.03,-4.00,0.72,69.87,-7.44
default,50.00,-2.00,2.522,0.598,50.05,-2.00,0.72,69.59,-5.18
default,50.00,0.00,2.527,2.893,50.05,-0.00,0.72,69.31,-2.91
default,50.00,2.00,2.539,5.187,50.05,2.00,0.72,69.03,-0.64
default,50.00,4.00,2.560,7.475,50.04,4.00,0.72,68.75,1.63
